Timestamp,Transaction ID,Customer ID,Product ID,Product Category,Amount,Payment Method,Transaction Status,IP Address,Location,Device Type,Session Duration,Anomaly Indicator
01:47.5,32d3d0c1-fe44-4cb2-8c43-a232cf04648f,de745b60-1988-4479-a3e1-a512f8cce0a0,ae7fe110-9a74-48b3-8c0d-6c272799853f,Apparel,301.38,Credit Card,Completed,97.239.8.82,Phoenix,Tablet,667,Yes
56:32.2,1cdd8017-320f-4911-95a0-6ea4bd41bfbb,6407892a-608f-4d8d-b365-12afce2d5b4a,2f29dc27-4c45-4ed1-814d-7ce66cc6e556,Furniture,611.88,PayPal,Completed,203.145.128.42,Houston,Mobile,1973,Yes
43:28.8,c86c2a93-b5f7-45f8-ac6e-e48bb0dbbf2c,e417e111-b0d3-4bf2-a184-c47e98f5eeec,59f94840-3d23-4373-bd7a-26a22cf748c4,Toys,845.26,Debit Card,Failed,64.140.94.135,Los Angeles,Desktop,363,Yes
51:05.9,b6fac515-76d7-492a-a7fc-b253a6872701,02a2eeae-f09b-4345-817d-4164e8cd8d65,35a221f7-8166-4d53-ad7f-d64260ebd5be,Groceries,104.78,Debit Card,Pending,84.49.207.125,Chicago,Tablet,723,No
45:19.6,267f34b4-5135-4aa2-a3d2-7308ea296c67,34fd96b4-5a84-47b6-91b8-5375a12e10bb,f4fb3402-4dbe-404e-8c2e-ad8eef6b9543,Groceries,502.98,Bank Transfer,Pending,208.178.132.250,New York,Desktop,2436,Yes
36:16.0,d6be880f-8d8e-4c49-8f8c-a6d59d908165,d1f0c8a4-c62f-4594-9c04-42d9a5611e18,75c6c3b8-28b1-42d8-941d-a2a27dd5615c,Furniture,423.63,PayPal,Completed,85.242.72.43,Chicago,Desktop,1735,No
11:23.2,e7f1c028-08ce-4049-9245-1dbd9fa295ee,f8b4a12d-968e-4ff0-8e23-46824ace6210,78d31582-b181-42fe-8102-62c2a791336d,Toys,551.33,Bank Transfer,Failed,215.21.189.25,Phoenix,Mobile,2156,No
33:18.7,e5131026-d3a8-4bda-9f3f-2a44b1773a75,d6f17357-8bb7-42ab-ba96-11a5c8e364b7,97188f19-cd04-4415-b317-de0ed011dd82,Groceries,770.91,Debit Card,Completed,107.78.85.79,Los Angeles,Mobile,3568,Yes
24:58.3,6a4e7e5e-8ff5-4124-8c39-a3f8f8f4bef5,44f8b587-1b00-46d9-a1c5-0a9775bfbcf9,75884c30-d1d9-4e48-b89f-19e7b44b7407,Toys,770.03,Debit Card,Pending,20.202.144.239,Chicago,Mobile,3368,Yes
57:34.4,d03dd11d-181a-405b-a0eb-f2a6c0244c2b,2a3024ef-f5be-41c4-8f7e-35df425beda6,f30feefb-dd26-4d3b-8f37-f7a3415e1f3c,Furniture,924.31,PayPal,Completed,37.216.12.139,Houston,Tablet,1918,Yes
06:57.6,077c5ccc-e0b0-4dba-8093-0d9be68a9e54,06887e46-6c0e-44be-b466-5e60beddbcb4,b6b2506c-3f2c-4c9d-93f2-a420d84e2e88,Toys,654.19,Credit Card,Failed,65.112.133.49,Phoenix,Desktop,2056,Yes
54:19.4,d45753aa-331f-4f22-aadc-5cbd83a6c77a,a71e9217-c5f5-40c8-a728-ec1e1f7cebc4,877f851e-92ca-4d81-8e23-7d8a8b9398c5,Apparel,438.15,Bank Transfer,Failed,211.111.187.242,New York,Mobile,31,Yes
52:42.1,59e29ed7-282e-4875-9c46-9467b7334146,46c9db2b-cc17-4722-8977-99ecbf532d5b,8d884f49-916b-4146-9560-df91370f3351,Toys,26.39,Credit Card,Failed,70.229.114.53,Los Angeles,Tablet,3275,No
40:58.7,203210a5-91c1-4c82-b736-5d3c1595b5c3,bb5cb27d-1466-464d-97b6-95184d5d3a47,b2fab3be-c448-412a-ba53-ecd804e07046,Furniture,536.71,Debit Card,Completed,84.150.34.22,Phoenix,Mobile,235,Yes
10:26.7,69b1fcbc-0b3c-4a69-b849-89d977f4dc16,9ff467e0-d53a-45d9-83ce-a8d24d13dc52,50f0de5e-62fb-4b17-992d-3c7a119358c5,Furniture,372.02,PayPal,Pending,43.172.208.68,New York,Desktop,605,No
22:30.3,513846f0-3b7c-4079-8dfe-d7f3daccf6cb,aeb460b6-07c5-40cc-9e15-99f11d171866,966b97bb-2404-489d-b635-6e219d33e726,Apparel,27.4,PayPal,Pending,6.42.235.180,Los Angeles,Desktop,1253,Yes
04:41.2,5deffbb9-6e53-4604-a085-a039c8ff3ee1,27e532e3-c900-41ac-a017-dd91650f5a55,4c4790f7-d496-47ac-9488-da0e4381717d,Furniture,428.25,Credit Card,Failed,13.142.142.67,Houston,Mobile,126,Yes
